,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
8709,Nc1ccc(N2CCC(F)(F)C2)cn1,1.0,1.0,0.0,0.0,199.20399475097656,0.4444444477558136,0.6428571343421936,2.0,3.0,1.0,3.0,9,14,0,0,0,1,4.0,0.0
8710,Cc1ccc(N(C)CCO)c(N)c1,0.0,1.0,0.0,0.0,180.25100708007812,0.4000000059604645,0.7692307829856873,1.0,2.0,5.0,3.0,10,13,0,0,0,1,4.0,0.0
8711,NCc1cccc(N2CC=CC2)c1,1.0,1.0,0.0,0.0,174.2469940185547,0.2727272808551788,0.8461538553237915,1.0,2.0,2.0,1.0,11,13,1,0,1,1,3.0,0.0
8712,CCN(C)Cc1cccc(CN)c1,0.0,1.0,0.0,0.0,178.2790069580078,0.4545454680919647,0.8461538553237915,1.0,2.0,4.0,3.0,11,13,0,0,0,1,5.0,0.0
8713,CCOC(=O)c1c(N)cc(C)n1C,0.0,1.0,1.0,0.0,182.22300720214844,0.4444444477558136,0.692307710647583,1.0,2.0,5.0,4.0,9,13,0,0,0,0,4.0,0.0
8714,Nc1[nH]ncc1C1=CCCCC1,1.0,1.0,0.0,0.0,163.2239990234375,0.4444444477558136,0.75,2.0,3.0,1.0,1.0,9,12,1,0,1,0,4.0,0.0
8715,Nc1cnccc1OC1CC1,1.0,1.0,0.0,0.0,150.18099975585938,0.375,0.7272727489471436,1.0,2.0,1.0,3.0,8,11,0,0,0,0,3.0,0.0
8716,CC(C)(C)n1cnc(CN)c1,0.0,1.0,0.0,0.0,153.22900390625,0.625,0.7272727489471436,2.0,3.0,3.0,3.0,8,11,0,0,0,0,5.0,0.0
8717,NC1(Cc2ccccn2)CCOCC1,1.0,1.0,0.0,0.0,192.26199340820312,0.5454545617103577,0.7857142686843872,1.0,2.0,1.0,3.0,11,14,0,0,0,0,6.0,0.0
8718,Nc1ccc(C2CCOCC2)nc1,1.0,1.0,0.0,0.0,178.23500061035156,0.5,0.7692307829856873,1.0,2.0,1.0,1.0,10,13,0,0,0,0,5.0,0.0
8719,Cc1n[nH]c(C2CCC2)c1N,1.0,1.0,0.0,0.0,151.21299743652344,0.625,0.7272727489471436,2.0,3.0,1.0,2.0,8,11,0,0,0,0,5.0,0.0
