,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,longest_tail,num_branches,ionisable_nitrogens,num_nitrogens,num_carbons,num_heavy_atoms,num_sp3_carbons,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,tail_branches
68,[C-]#[N+]Cc1ocnc1C(=O)OCC,0.0,1.0,1.0,0.0,180.1629943847656,0.375,0.6153846383094788,5.0,2.0,1.0,2.0,8,13,3,0,0,0,0,1.0
69,[C-]#[N+]CCCC,0.0,0.0,0.0,0.0,83.13400268554688,0.800000011920929,0.8333333134651184,6.0,0.0,0.0,1.0,5,6,4,0,0,0,0,0.0
70,[C-]#[N+]CCCC(=O)OCC,0.0,0.0,1.0,0.0,141.1699981689453,0.7142857313156128,0.699999988079071,9.0,1.0,0.0,1.0,7,10,5,0,0,0,0,1.0
71,[C-]#[N+]CCC(C)C,0.0,0.0,0.0,0.0,97.16100311279295,0.8333333134651184,0.8571428656578064,6.0,1.0,0.0,1.0,6,7,5,0,0,0,0,1.0
72,[C-]#[N+]CC(=O)OC(C)(C)C,0.0,0.0,1.0,0.0,141.1699981689453,0.7142857313156128,0.699999988079071,7.0,3.0,0.0,1.0,7,10,5,0,0,0,0,3.0
73,[C-]#[N+]Cc1cccnc1,0.0,1.0,0.0,0.0,118.13899993896484,0.1428571492433548,0.7777777910232544,3.0,1.0,1.0,2.0,7,9,1,0,0,0,0,1.0
74,[C-]#[N+]C(CCC)C(=O)OC,0.0,0.0,1.0,0.0,141.1699981689453,0.7142857313156128,0.699999988079071,7.0,2.0,0.0,1.0,7,10,5,0,0,0,0,2.0
75,[C-]#[N+]C(C(=O)OC)C(C)CC,0.0,0.0,1.0,0.0,155.19700622558594,0.75,0.7272727489471436,7.0,3.0,0.0,1.0,8,11,6,0,0,0,0,3.0
76,[C-]#[N+]C1(C)CC1,1.0,0.0,0.0,0.0,81.11799621582031,0.800000011920929,0.8333333134651184,2.0,2.0,0.0,1.0,5,6,4,0,0,0,0,1.0
77,[C-]#[N+]C(CC(C)C)C(=O)OC,0.0,0.0,1.0,0.0,155.19700622558594,0.75,0.7272727489471436,7.0,3.0,0.0,1.0,8,11,6,0,0,0,0,3.0
78,[C-]#[N+]CCC,0.0,0.0,0.0,0.0,69.10700225830078,0.75,0.800000011920929,5.0,0.0,0.0,1.0,4,5,3,0,0,0,0,0.0
79,[C-]#[N+]C1CCN(C(=O)OC(C)(C)C)C1,1.0,0.0,1.0,1.0,196.25,0.800000011920929,0.7142857313156128,5.0,4.0,0.0,2.0,10,14,8,0,0,0,0,1.0
80,[C-]#[N+]C1CC(F)(F)C1,1.0,0.0,0.0,0.0,117.0979995727539,0.800000011920929,0.625,2.0,3.0,0.0,1.0,5,8,4,0,0,0,0,1.0
81,[C-]#[N+]C(C(=O)OC)c1ccccc1,0.0,1.0,1.0,0.0,175.18699645996094,0.2000000029802322,0.7692307829856873,6.0,2.0,0.0,1.0,10,13,2,0,0,0,0,2.0
82,[C-]#[N+]Cc1cncc(C)c1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
83,[C-]#[N+]C(CCCC)C(=O)OC,0.0,0.0,1.0,0.0,155.19700622558594,0.75,0.7272727489471436,8.0,2.0,0.0,1.0,8,11,6,0,0,0,0,2.0
84,[C-]#[N+]Cc1ccc(C)cn1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
85,[C-]#[N+]Cc1ccco1,0.0,1.0,0.0,0.0,107.11199951171876,0.1666666716337204,0.75,3.0,1.0,0.0,1.0,6,8,1,0,0,0,0,1.0
86,[C-]#[N+]CCc1ccncc1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,4.0,1.0,1.0,2.0,8,10,2,0,0,0,0,1.0
87,[C-]#[N+]C(C)(C)C(=O)OCC,0.0,0.0,1.0,0.0,141.1699981689453,0.7142857313156128,0.699999988079071,7.0,3.0,0.0,1.0,7,10,5,0,0,0,0,3.0
88,[C-]#[N+]CCN1CCN(CCCC)CC1,1.0,0.0,0.0,0.0,195.30999755859375,0.9090909361839294,0.7857142686843872,4.0,2.0,2.0,3.0,11,14,10,0,0,0,2,1.0
89,[C-]#[N+]C(C(=O)OC)c1ccc(F)cc1,0.0,1.0,1.0,0.0,193.177001953125,0.2000000029802322,0.7142857313156128,6.0,3.0,0.0,1.0,10,14,2,0,0,0,0,2.0
